DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,CS(KPa)
110100000,31.5,428.5383998,4.937329151,1000,18,105.0223158,1.97,1.888933496,1.810381104,0.056,4.811898513,98.4193699,1.05,33.7,120,10,641.705,11000,289.41976,0.001797548,0,87.0529,497
110100000,31.5,418.1309043,5.087697437,1000,18,116.6534884,2.1,2.046556812,1.986990447,0.056,5.01939311,98.39761098,1.05,32.8,120,10,641.705,11000,311.99676,0.001798073,0,86.0521,396
110000000,31.4835,446,4.6,1001,45.16994912,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,272.4,15.16,0,100000,516,0.00202403,0,91.1,190
110010000,31.487,435.8960504,4.432762213,1001,48.43115105,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,305.4,15.29,0,100000,448,0.002024055,0,89.5,200
110010000,31.4945,425.5281063,4.261154862,1001,48.90178816,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,314.4,15.34,0,100000,480,0.002028484,0,90.1,220
110010000,31.4945,413.5933891,4.063614717,1001,45.75917134,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,298.8,15.19,0,100000,739,0.002028484,0,92.2,190
110010000,31.4945,387.9340891,3.638909061,1001,40.53796797,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,298.8,15.19,0,100000,748,0.002028484,0,95.6,150
110000000,31.4945,446,4.6,1001,44.94284655,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,272.4,15.16,0,100000,528.05,0.00202403,1,91.1,151
110010000,31.4895,435.8960504,4.432762213,1001,46.13382626,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,305.4,15.51,0,100000,461.7,0.002023792,1,89.5,157
110010000,31.488,425.5281063,4.261154862,1001,45.81880917,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,305.4,15.63,0,100000,486.18,0.002028221,1,90.1,179
110010000,31.473,413.5933891,4.063614717,1001,45.75917134,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,307.8,15.43,0,100000,654.65,0.002028221,1,92.2,146
110010000,31.4595,387.9340891,3.638909061,1001,43.30592987,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,328.2,15.38,0,100000,663.35,0.002028221,1,95.6,131
100100000,32.049,547.9939578,5.458234266,1001,48.88809729,96,24.1,3.6,6.5,0,24.07897905,89.55395383,1.0786,51,60,25,0,100100,320,0.004444444,0,83.5601,200
1010000000,33.6,391.0727198,6.036635567,1000,45.39612757,99.58731419,19.38982168,1.979304783,1.236444723,0.052343333,21.55779844,88.73257392,1.5,55.41197507,544.6,15,0,100000,331.0428,0.001666667,0,85.958,49.1
1010010000,33.6,391.0727198,6.225761444,1000,51.0586582,99.58731419,19.415139,1.500018774,1.241244723,0.052073333,21.55779844,88.78197832,1.5,55.30097507,553.15,15,0,100000,205,0.001666667,0,85.9791,56.6
1010010000,33.6,391.6751059,6.184583295,1000,51.0586582,99.52982034,19.33082168,1.497411777,1.249218768,0.052343333,21.4251746,88.78197832,1.5,55.48287817,555.55,15,0,100000,180,0.001666667,0,86.0291,67.7
1010010000,33.6,391.0727198,6.225761444,1000,51.0586582,99.58731419,19.38982168,1.501127489,1.243616198,0.052343333,21.55779844,88.75803746,1.5,55.42887817,553.15,15,0,100000,195,0.001666667,0,85.9791,77.8
1010010000,33.6,391.0727198,6.225761444,1000,51.0586582,99.58731419,19.415139,1.500018774,1.241244723,0.052073333,21.58351218,88.78197832,1.5,55.30097507,553.15,15,0,100000,208,0.001666667,0,85.9791,71.8
