DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,S_CS
100000100,31.25,992.4,4.748774749,1000.18,33.15115137,42.01680672,3.309969593,1.27225463,1.277288671,0.136118222,8.414842712,96.62889355,1,70.41420118,269.7,10,0,100100,214.58449,0.001666667,0,87.0968,4.089552239
100000100,31.25,692.5,4.698476269,1000.21,36.43871084,60.24096386,3.862878708,1.24941882,1.314294623,0.113194778,9.165717868,96.59654249,1,62.40601504,291.9,10,0,100100,191.32376,0.001666667,0,86.9746,4.230769231
100000100,31.25,660.2,4.715915973,1000.21,36.46123293,63.29113924,3.960794265,1.275402036,1.297404133,0.111861889,9.216253449,96.58729783,1,61.24031008,294.5,10,0,100100,181.03456,0.001666667,0,86.6537,4.451219512
100000100,31.25,660.2,4.693828894,1000.21,36.46123293,63.29113924,3.959194265,1.27434026,1.297304133,0.112139667,9.269947656,96.51620748,1,61.24031008,293.4,10,0,100100,181.37476,0.001666667,0,84.0271,3.476070529
100000100,31.25,750.6,4.748337117,1000.21,36.97048862,55.55555556,3.843632483,1.270229959,1.328030167,0.112623111,9.10958146,96.60720792,1,64.28571429,290.3,10,0,100100,197.23576,0.001666667,0,85.5335,3.832853026
100000100,31.25,750.6,4.785638943,1000.21,36.97048862,55.55555556,3.845232483,1.270288297,1.328726866,0.112345333,9.108536826,96.61671595,1,64.28571429,290.3,10,0,100100,197.51076,0.001666667,0,86.8487,4.587458746
100000100,31.25,750.6,4.751080499,1000.21,36.97048862,55.55555556,3.843632483,1.270229959,1.328030167,0.112623111,9.108536826,96.62136214,1,64.28571429,290.3,10,0,100100,197.23576,0.001666667,0,86.2927,3.907103825
100000100,31.25,555,4.557802638,1000.2,36.73154134,75.18796992,4.725392014,1.245649323,1.253653936,0.106325222,9.82390498,96.47116344,1,57.08154506,291.35,10,0,100100,157.26161,0.001666667,0,87.1821,4.205882353
100000100,31.25,555,4.565319227,1000.2,36.73154134,75.18796992,4.725392014,1.245678493,1.254253936,0.106325222,9.82390498,96.47890446,1,57.08154506,291.35,10,0,100100,157.81661,0.001666667,0,87.5111,4.512534819
100000100,31.25,1208.4,4.811348561,1000.18,33.61569838,34.60207612,3.131628716,1.253721517,1.278188098,0.148803778,7.880207534,96.58942253,1,74.29305913,272.75,10,0,100100,220.16427,0.001666667,0,85.5776,3.756906077
100000100,31.25,1208.4,4.782463389,1000.18,33.61569838,34.60207612,3.133228716,1.253750687,1.277688098,0.148526,7.8791629,96.58942253,1,74.29305913,272.75,10,0,100100,220.16427,0.001666667,0,86.4418,4.367245658
100000100,31.25,484.2,4.605460435,1000.22,38.12045587,86.20689655,4.93057344,1.159190444,1.206537569,0.099541889,10.01166044,96.48207253,1,53.7037037,291.1,10,0,100100,135.77434,0.001666667,0,84.7055,4.338461538
110000000,31.4,490,4.3,1000,18,68.99406651,1.37988133,2.069821995,1.207396164,0.11,3.373043252,98.05757524,1.2,59.17367519,16.7,10,336,100000,103,0.00164042,0,92.98,15.68329718
100010000,31.4,211,2,1000,18,83.85111396,1.677022279,0.41925557,1.467394494,0.11,4.099387794,97.81266576,1.1,54.39183796,131.15,10,336,100000,48,0.00164042,0,57.08,2.3117338
100010000,31.4,495,6,1000,18,84.43449994,1.688689999,0.4221725,1.477603749,0.11,4.127908886,97.80457198,1.3,54.21979078,36.45,10,336,100000,20,0.00164042,0,79.97,6.71657754
