DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,AD(kg/m3)
110000000,31.5,469.5549505,4,1001,85.43181818,70,10.5,1.1,0.7,0.056,11.5116867,93.68371636,1.05,58.8,265.53,30,0,100000,529,50
110000000,31.5,451.4638333,4,1001,55.43869347,70,7.7,1.1,0.7,0.056,8.711546688,95.14552587,1.05,58.8,173.09,30,0,100000,558,50
110000000,31.5,469.2031914,4,1001,107.1696629,70,13.7,1.1,0.7,0.056,14.3118267,92.26614547,1.05,58.8,506.4,30,0,100000,514,50
110000000,31.25,300,2,1,148.1,126,10.6,1.9,1,0,10.56793674,95.58955896,1.1,44.2,528,30,0,100000,352,105
110000000,31.25,400,2,1,148.1,94,9.1,1.7,0.8,0,9.075941552,95.59,1.1,51.5,502.8,30,0,100000,252,94
110000000,31.25,500,2,1,148.1,75,8.2,1.5,0.76,0,8.184855234,95.59,1.1,57.1,627,30,0,100000,201,92
110000000,31.25,600,2,1,148.1,62,7.5,1.4,0.7,0,7.548784663,95.59,1.1,62,727.2,30,0,100000,162,93
110000000,31.25,440.9090909,2.35206987,1,148.1,105,9.5,1.7,0.87,0,9.534127844,95.6,0.9,48.9,526.8,30,0,100000,143,108
110000000,31.25,440.9090909,2.041,1,148.1,85,8.6,1.6,0.79,0,8.647798742,95.6,1.1,53.9,461.4,30,0,100000,144,101
110000000,31.25,441.1671924,3.181869128,1,148.1,72,8,1.5,0.73,0,8.035062089,95.6,1.3,58,678,30,0,100000,146,95
110000000,31,420,4.5,1001,40.71025641,90.09459459,7.135135135,1.8,1.3,0.11,9.764764765,95.75694309,1.1,59,74.82,8,0,100000,122,39.1
110000000,31,420,4.5,1000,18,90.09459459,3.667567568,1.8,1.3,0.11,8.808808809,96.56317126,1.1,63.9,68.34,8,0,100000,117.3,34.6
110100000,31.5,395.4433017,4.630527685,1000,18,85.5,1.695,2.55,2.55,0.11,5.593220339,97.67359887,1.25,63.9,60,10,246.81,100000,566,39.1
100000100,31.25,605.1,3.05958156,1000,18,68.96551724,1.374848741,1.255997065,0.796081811,0.135610667,3.720228633,97.47416818,1,59.18367347,112.48,10,0,100100,307.392,39.9
100000100,31.25,992.4,3.419494125,1000.03,18.37438693,42.01680672,1.5086297,1.073658247,0.765520653,0.164007333,3.979803305,97.16287618,1,70.41420118,146.71,10,0,100100,317.472,33.5
